"Step","tpu-v4-spmd-resumed-18000 - val/l40_rank1_ratio","tpu-v4-spmd-resumed-18000 - val/l40_rank1_ratio__MIN","tpu-v4-spmd-resumed-18000 - val/l40_rank1_ratio__MAX"
"18040","0.7027421593666077","0.7027421593666077","0.7027421593666077"
"18090","0.6737670302391052","0.6737670302391052","0.6737670302391052"
"18140","0.7032204270362854","0.7032204270362854","0.7032204270362854"
"18190","0.5277527570724487","0.5277527570724487","0.5277527570724487"
"18240","0.543633759021759","0.543633759021759","0.543633759021759"
"18290","0.5662267804145813","0.5662267804145813","0.5662267804145813"
"18340","0.5689600706100464","0.5689600706100464","0.5689600706100464"
"18390","0.6176482439041138","0.6176482439041138","0.6176482439041138"
"18440","0.6356183886528015","0.6356183886528015","0.6356183886528015"
"18490","0.6277900338172913","0.6277900338172913","0.6277900338172913"
"18540","0.6635770201683044","0.6635770201683044","0.6635770201683044"
"18590","0.6592788100242615","0.6592788100242615","0.6592788100242615"
"18640","0.6590147018432617","0.6590147018432617","0.6590147018432617"
"18690","0.7390843033790588","0.7390843033790588","0.7390843033790588"
"18740","0.69944828748703","0.69944828748703","0.69944828748703"
"18790","0.6510379910469055","0.6510379910469055","0.6510379910469055"
"18840","0.7212662696838379","0.7212662696838379","0.7212662696838379"
"18890","0.701177716255188","0.701177716255188","0.701177716255188"
"18940","0.6921008229255676","0.6921008229255676","0.6921008229255676"
"18990","0.7337499856948853","0.7337499856948853","0.7337499856948853"
"19040","0.7314473390579224","0.7314473390579224","0.7314473390579224"
"19090","0.745665431022644","0.745665431022644","0.745665431022644"
"19140","0.7557725310325623","0.7557725310325623","0.7557725310325623"
"19190","0.7646602392196655","0.7646602392196655","0.7646602392196655"
"19240","0.7676458954811096","0.7676458954811096","0.7676458954811096"
"19290","0.765283465385437","0.765283465385437","0.765283465385437"
"19340","0.7756684422492981","0.7756684422492981","0.7756684422492981"
"19390","0.7806140780448914","0.7806140780448914","0.7806140780448914"
"19440","0.7821972370147705","0.7821972370147705","0.7821972370147705"
"19490","0.7844511866569519","0.7844511866569519","0.7844511866569519"
