"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t01","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t01__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t01__MAX"
"18020","0.75","0.75","0.75"
"18040","0.7421875","0.7421875","0.7421875"
"18060","0.7578125","0.7578125","0.7578125"
"18080","0.7890625","0.7890625","0.7890625"
"18100","0.50390625","0.50390625","0.50390625"
"18120","0.72265625","0.72265625","0.72265625"
"18140","0.83984375","0.83984375","0.83984375"
"18160","0.48046875","0.48046875","0.48046875"
"18180","0.28515625","0.28515625","0.28515625"
"18200","0.73828125","0.73828125","0.73828125"
"18220","0.404296875","0.404296875","0.404296875"
"18240","0.62109375","0.62109375","0.62109375"
"18260","0.69921875","0.69921875","0.69921875"
"18280","0.6875","0.6875","0.6875"
"18300","0.69921875","0.69921875","0.69921875"
"18320","0.412109375","0.412109375","0.412109375"
"18340","0.328125","0.328125","0.328125"
"18360","0.7890625","0.7890625","0.7890625"
"18380","0.421875","0.421875","0.421875"
"18400","0.482421875","0.482421875","0.482421875"
"18420","0.09912109375","0.09912109375","0.09912109375"
"18440","0.671875","0.671875","0.671875"
"18460","0.6796875","0.6796875","0.6796875"
"18480","0.439453125","0.439453125","0.439453125"
"18500","0.6328125","0.6328125","0.6328125"
"18520","0.7265625","0.7265625","0.7265625"
"18540","0.53515625","0.53515625","0.53515625"
"18560","0.5859375","0.5859375","0.5859375"
"18580","0.71875","0.71875","0.71875"
"18600","0.291015625","0.291015625","0.291015625"
"18620","0.337890625","0.337890625","0.337890625"
"18640","0.287109375","0.287109375","0.287109375"
"18660","0.4296875","0.4296875","0.4296875"
"18680","0.6875","0.6875","0.6875"
"18700","0.27734375","0.27734375","0.27734375"
"18720","0.65625","0.65625","0.65625"
"18740","0.7421875","0.7421875","0.7421875"
"18760","0.37890625","0.37890625","0.37890625"
"18780","0.12890625","0.12890625","0.12890625"
"18800","0.349609375","0.349609375","0.349609375"
"18820","0.7109375","0.7109375","0.7109375"
"18840","0.71875","0.71875","0.71875"
"18860","0.33203125","0.33203125","0.33203125"
"18880","0.150390625","0.150390625","0.150390625"
"18900","0.75","0.75","0.75"
"18920","0.7265625","0.7265625","0.7265625"
"18940","0.1337890625","0.1337890625","0.1337890625"
"18960","0.408203125","0.408203125","0.408203125"
"18980","0.0126953125","0.0126953125","0.0126953125"
"19000","0.546875","0.546875","0.546875"
"19020","0.80078125","0.80078125","0.80078125"
"19040","0.66796875","0.66796875","0.66796875"
"19060","0.6171875","0.6171875","0.6171875"
"19080","0.8359375","0.8359375","0.8359375"
"19100","0.08984375","0.08984375","0.08984375"
"19120","0.34375","0.34375","0.34375"
"19140","0.32421875","0.32421875","0.32421875"
"19160","0.380859375","0.380859375","0.380859375"
"19180","0.404296875","0.404296875","0.404296875"
"19200","0.41796875","0.41796875","0.41796875"
"19220","0.2265625","0.2265625","0.2265625"
