"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MAX"
"18020","0.765625","0.765625","0.765625"
"18040","0.546875","0.546875","0.546875"
"18060","0.4453125","0.4453125","0.4453125"
"18080","0.54296875","0.54296875","0.54296875"
"18100","0.57421875","0.57421875","0.57421875"
"18120","0.6484375","0.6484375","0.6484375"
"18140","0.478515625","0.478515625","0.478515625"
"18160","0.4765625","0.4765625","0.4765625"
"18180","0.298828125","0.298828125","0.298828125"
"18200","0.6328125","0.6328125","0.6328125"
"18220","0.5390625","0.5390625","0.5390625"
"18240","0.5703125","0.5703125","0.5703125"
"18260","0.640625","0.640625","0.640625"
"18280","0.55859375","0.55859375","0.55859375"
"18300","0.59375","0.59375","0.59375"
"18320","0.32421875","0.32421875","0.32421875"
"18340","0.41796875","0.41796875","0.41796875"
"18360","0.62109375","0.62109375","0.62109375"
"18380","0.48046875","0.48046875","0.48046875"
"18400","0.48046875","0.48046875","0.48046875"
"18420","0.1767578125","0.1767578125","0.1767578125"
"18440","0.671875","0.671875","0.671875"
"18460","0.6484375","0.6484375","0.6484375"
"18480","0.44921875","0.44921875","0.44921875"
"18500","0.6015625","0.6015625","0.6015625"
"18520","0.54296875","0.54296875","0.54296875"
"18540","0.62890625","0.62890625","0.62890625"
"18560","0.6875","0.6875","0.6875"
"18580","0.50390625","0.50390625","0.50390625"
"18600","0.42578125","0.42578125","0.42578125"
"18620","0.64453125","0.64453125","0.64453125"
"18640","0.5390625","0.5390625","0.5390625"
"18660","0.484375","0.484375","0.484375"
"18680","0.69140625","0.69140625","0.69140625"
"18700","0.220703125","0.220703125","0.220703125"
"18720","0.400390625","0.400390625","0.400390625"
"18740","0.640625","0.640625","0.640625"
"18760","0.455078125","0.455078125","0.455078125"
"18780","0.271484375","0.271484375","0.271484375"
"18800","0.4609375","0.4609375","0.4609375"
"18820","0.61328125","0.61328125","0.61328125"
"18840","0.3984375","0.3984375","0.3984375"
"18860","0.546875","0.546875","0.546875"
"18880","0.31640625","0.31640625","0.31640625"
"18900","0.5625","0.5625","0.5625"
"18920","0.6484375","0.6484375","0.6484375"
"18940","0.318359375","0.318359375","0.318359375"
"18960","0.50390625","0.50390625","0.50390625"
"18980","0.353515625","0.353515625","0.353515625"
"19000","0.40234375","0.40234375","0.40234375"
"19020","0.57421875","0.57421875","0.57421875"
"19040","0.4453125","0.4453125","0.4453125"
"19060","0.5390625","0.5390625","0.5390625"
"19080","0.5859375","0.5859375","0.5859375"
"19100","0.359375","0.359375","0.359375"
"19120","0.28125","0.28125","0.28125"
"19140","0.6328125","0.6328125","0.6328125"
"19160","0.359375","0.359375","0.359375"
"19180","0.400390625","0.400390625","0.400390625"
"19200","0.31640625","0.31640625","0.31640625"
"19220","0.1767578125","0.1767578125","0.1767578125"
"19240","0.296875","0.296875","0.296875"
"19260","0.5546875","0.5546875","0.5546875"
"19280","0.578125","0.578125","0.578125"
"19300","0.38671875","0.38671875","0.38671875"
"19320","0.53125","0.53125","0.53125"
"19340","0.6796875","0.6796875","0.6796875"
"19360","0.47265625","0.47265625","0.47265625"
"19380","0.578125","0.578125","0.578125"
"19400","0.50390625","0.50390625","0.50390625"
"19420","0.5859375","0.5859375","0.5859375"
"19440","0.65625","0.65625","0.65625"
"19460","0.734375","0.734375","0.734375"
"19480","0.4296875","0.4296875","0.4296875"
"19500","0.34765625","0.34765625","0.34765625"
"19520","0.3125","0.3125","0.3125"
"19540","0.453125","0.453125","0.453125"
"19560","0.365234375","0.365234375","0.365234375"
"19580","0.515625","0.515625","0.515625"
"19600","0.54296875","0.54296875","0.54296875"
"19620","0.34765625","0.34765625","0.34765625"
"19640","0.52734375","0.52734375","0.52734375"
"19660","0.7109375","0.7109375","0.7109375"
"19680","0.29296875","0.29296875","0.29296875"
"19700","0.4375","0.4375","0.4375"
"19720","0.4140625","0.4140625","0.4140625"
"19740","0.6796875","0.6796875","0.6796875"
"19760","0.3828125","0.3828125","0.3828125"
"19780","0.45703125","0.45703125","0.45703125"
"19800","0.625","0.625","0.625"
"19820","0.41796875","0.41796875","0.41796875"
"19840","0.5703125","0.5703125","0.5703125"
"19860","0.373046875","0.373046875","0.373046875"
"19880","0.130859375","0.130859375","0.130859375"
"19900","0.25390625","0.25390625","0.25390625"
"19920","0.49609375","0.49609375","0.49609375"
"19940","0.48046875","0.48046875","0.48046875"
"19960","0.63671875","0.63671875","0.63671875"
"19980","0.640625","0.640625","0.640625"
"20000","0.478515625","0.478515625","0.478515625"
"20020","0.46484375","0.46484375","0.46484375"
"20040","0.60546875","0.60546875","0.60546875"
"20060","0.5859375","0.5859375","0.5859375"
"20080","0.263671875","0.263671875","0.263671875"
"20100","0.5546875","0.5546875","0.5546875"
"20120","0.50390625","0.50390625","0.50390625"
"20140","0.5546875","0.5546875","0.5546875"
"20160","0.5625","0.5625","0.5625"
"20180","0.22265625","0.22265625","0.22265625"
"20200","0.625","0.625","0.625"
"20220","0.5625","0.5625","0.5625"
"20240","0.625","0.625","0.625"
"20260","0.66796875","0.66796875","0.66796875"
"20280","0.31640625","0.31640625","0.31640625"
"20300","0.6328125","0.6328125","0.6328125"
"20320","0.34375","0.34375","0.34375"
"20340","0.416015625","0.416015625","0.416015625"
"20360","0.416015625","0.416015625","0.416015625"
"20380","0.30078125","0.30078125","0.30078125"
"20400","0.333984375","0.333984375","0.333984375"
"20420","0.6484375","0.6484375","0.6484375"
"20440","0.1103515625","0.1103515625","0.1103515625"
"20460","0.515625","0.515625","0.515625"
"20480","0.1650390625","0.1650390625","0.1650390625"
"20500","0.478515625","0.478515625","0.478515625"
"20520","0.5","0.5","0.5"
"20540","0.5625","0.5625","0.5625"
"20560","0.5","0.5","0.5"
"20580","0.38671875","0.38671875","0.38671875"
"20600","0.58984375","0.58984375","0.58984375"
"20620","0.55859375","0.55859375","0.55859375"
"20640","0.5546875","0.5546875","0.5546875"
"20660","0.5625","0.5625","0.5625"
"20680","0.56640625","0.56640625","0.56640625"
"20700","0.55078125","0.55078125","0.55078125"
"20720","0.421875","0.421875","0.421875"
"20740","0.384765625","0.384765625","0.384765625"
"20760","0.490234375","0.490234375","0.490234375"
"20780","0.35546875","0.35546875","0.35546875"
"20800","0.6015625","0.6015625","0.6015625"
"20820","0.3046875","0.3046875","0.3046875"
"20840","0.46875","0.46875","0.46875"
"20860","0.64453125","0.64453125","0.64453125"
"20880","0.78125","0.78125","0.78125"
"20900","0.5390625","0.5390625","0.5390625"
"20920","0.5234375","0.5234375","0.5234375"
"20940","0.375","0.375","0.375"
"20960","0.6328125","0.6328125","0.6328125"
"20980","0.53515625","0.53515625","0.53515625"
"21000","0.32421875","0.32421875","0.32421875"
"21020","0.4375","0.4375","0.4375"
"21040","0.5625","0.5625","0.5625"
"21060","0.26953125","0.26953125","0.26953125"
"21080","0.5625","0.5625","0.5625"
